year,round,weather,weatherWarm,weatherCold,weatherDry,weatherWet,weatherCloudy
1969,9,Mild with temperatures approaching 21.1 °C (70.0 °F); wind speeds up to 10.1 kilometres per hour (6.3 mph)[1],1,0,0,0,0
1969,10,Dry with temperatures reaching up to 18 °C (64 °F);Wind speeds up to 18.70 km/h (11.62 mph)[1],0,0,1,0,0
1969,11,Warm and dry,1,0,1,0,0
1968,1,"Very hot, dry",1,0,1,0,0
1968,2,"Hot, Dry",1,0,1,0,0
1968,3,"Sunny, Mild, Dry",1,0,1,0,0
1968,4,"Overcast, Dry",0,0,1,0,1
1968,5,Showers,0,0,0,1,0
1968,6,Wet,0,0,0,1,0
1968,7,"Hot, Dry",1,0,1,0,0
1968,8,"Hazy, Wet",0,0,0,1,0
1968,9,"Hot, Dry",1,0,1,0,0
1968,10,Sunny with temperatures reaching up to 27.8 °C (82.0 °F) and wind speeds up to 10.1 kilometres per hour (6.3 mph); no precipitation reported throughout the day[1],1,0,0,0,0
1968,11,Temperatures reaching a maximum of 20 °C (68 °F);wind speeds up to 14.82 km/h (9.21 mph)[1],0,0,0,0,0
1968,12,"Sunny, Mild, Dry",1,0,1,0,0
1967,1,not found,0,0,0,0,0
1967,2,not found,0,0,0,0,0
1967,3,not found,0,0,0,0,0
1967,4,not found,0,0,0,0,0
1967,5,not found,0,0,0,0,0
1967,6,not found,0,0,0,0,0
1967,7,"Warm, dry and sunny",1,0,1,0,0
1967,8,Rainy with temperatures up to 24.4 °C (75.9 °F); wind speeds up to 8 kilometres per hour (5.0 mph)[1],0,0,0,1,0
1967,9,"Warm, dry",1,0,1,0,0
1967,10,Sunny,1,0,0,0,0
1967,11,not found,0,0,0,0,0
1966,1,"Overcast, Mild, Dry",1,0,1,0,1
1966,2,Overcast and wet,0,0,0,1,1
1966,3,"Hot, dry",1,0,1,0,0
1966,4,"Wet, drying later",0,0,1,1,0
1966,5,"Sunny, Mild, Dry",1,0,1,0,0
1966,6,Overcast and wet,0,0,0,1,1
1966,7,"Warm, dry and sunny",1,0,1,0,0
1966,8,"Cool, dry",0,1,1,0,0
1966,9,"Warm, clear",1,0,0,0,0
1965,1,not found,0,0,0,0,0
1965,2,not found,0,0,0,0,0
1965,3,Heavy rain,0,0,0,1,0
1965,4,Sunny,1,0,0,0,0
1965,5,"Warm, dry and overcast",1,0,1,0,1
1965,6,not found,0,0,0,0,0
1965,7,Overcast and dry,0,0,1,0,1
1965,8,not found,0,0,0,0,0
1965,9,"Rainy, windy, cold",0,1,0,1,0
1965,10,not found,0,0,0,0,0
1964,1,not found,0,0,0,0,0
1964,2,Dry,0,0,1,0,0
1964,3,Dry,0,0,1,0,0
1964,4,Dry,0,0,1,0,0
1964,5,"Warm, dry",1,0,1,0,0
1964,6,Dry,0,0,1,0,0
1964,7,Dry,0,0,1,0,0
1964,8,Dry,0,0,1,0,0
1964,9,"Sunny, warm",1,0,0,0,0
